 AI Road Intelligence for Indian Autonomous Driving — Traffic Dataset,,,,,,,,,,,,,,,,
Object Class,Road Condition,Time of Day,Weather,City Zone,Distance (m),Confidence,Speed (km/h),BBox X (px),BBox Y (px),BBox W (px),BBox H (px),Lane Discipline,Pothole Severity,Visibility (m),Danger Score,Hazardous?
motorcycle,smooth,morning_rush,clear,mumbai_suburban,5.69,0.803,22.00,1117.2,398.0,100.4,94.0,0.168,0.00,75.40,23.80,NO
e-rickshaw,pothole_light,night,foggy,mumbai_suburban,7.17,0.599,22.60,234.3,531.3,116.4,106.6,0.455,4.60,31.30,42.04,YES
bicycle,pothole_light,evening_rush,clear,delhi_inner,8.91,0.842,13.80,696.0,342.1,76.9,92.7,0.567,4.70,77.30,26.27,NO
car,pothole_light,evening_rush,clear,delhi_inner,15.56,0.926,24.40,420.6,246.0,197.5,207.1,0.045,3.58,78.60,29.19,NO
pedestrian,damaged_edge,morning_rush,hazy,mumbai_suburban,7.77,0.889,3.30,956.7,622.8,44.2,36.0,0.096,5.74,46.50,50.83,YES
bicycle,pothole_light,morning_rush,dusty,delhi_inner,12.69,0.687,11.90,158.9,299.4,51.1,51.5,0.167,3.60,27.50,38.95,NO
car,damaged_edge,morning_rush,clear,delhi_inner,20.88,0.899,21.80,473.0,278.1,198.1,254.4,0.044,6.04,82.50,39.72,NO
truck,pothole_light,afternoon,clear,hyderabad_highway,18.01,0.859,27.90,739.4,366.9,222.0,283.9,0.236,2.94,81.70,21.61,NO
bicycle,pothole_heavy,evening_rush,hazy,delhi_inner,4.18,0.771,8.60,491.6,501.4,72.1,79.1,0.157,6.73,43.30,45.79,YES
car,damaged_edge,night,rainy,kolkata_old,17.76,0.743,40.30,64.9,468.3,170.5,184.7,0.302,4.71,31.40,39.22,NO
pedestrian,pothole_light,evening_rush,rainy,mumbai_suburban,15.25,0.702,1.70,873.8,287.0,40.7,46.8,0.353,4.99,32.10,53.53,YES
motorcycle,pothole_light,evening_rush,foggy,rural_highway,12.43,0.758,19.70,597.4,352.8,92.7,86.4,0.112,2.61,27.20,38.57,NO
bicycle,damaged_edge,dawn,dusty,bangalore_tech,6.13,0.782,4.30,13.5,253.6,84.8,94.6,0.395,6.26,47.50,49.55,YES
bus,pothole_light,night,foggy,mumbai_suburban,23.16,0.575,33.10,623.8,367.1,261.8,211.1,0.467,2.03,14.70,35.92,NO
bicycle,pothole_heavy,dawn,rainy,bangalore_tech,8.39,0.652,17.90,1102.1,326.1,81.9,88.9,0.299,7.70,23.50,56.29,YES
autorickshaw,pothole_light,evening_rush,hazy,bangalore_tech,14.33,0.772,16.00,127.8,469.5,128.5,128.7,0.539,2.30,45.50,32.32,NO
dog,construction,afternoon,clear,kolkata_old,1.38,0.545,10.30,713.5,200.1,72.0,86.7,0.149,3.87,69.60,60.90,YES
cow,damaged_edge,morning_rush,dusty,delhi_inner,8.79,0.713,0.00,832.6,221.3,137.4,162.5,0.250,5.44,38.20,62.08,YES
motorcycle,damaged_edge,night,hazy,rural_highway,5.93,0.610,28.70,83.6,381.3,98.2,101.0,0.382,4.79,45.60,38.06,NO
cow,damaged_edge,morning_rush,clear,bangalore_tech,9.39,0.642,2.90,25.9,594.7,134.4,108.1,0.529,3.32,81.80,48.64,YES
car,pothole_heavy,afternoon,rainy,mumbai_suburban,15.12,0.838,42.20,508.0,506.0,185.5,176.5,0.130,7.38,28.50,53.23,YES
truck,pothole_light,evening_rush,clear,hyderabad_highway,21.14,0.931,21.60,848.2,473.0,207.9,245.4,0.372,4.53,81.30,24.31,NO
motorcycle,damaged_edge,evening_rush,rainy,mumbai_suburban,9.04,0.721,12.60,194.5,392.1,70.1,59.1,0.535,4.56,32.40,42.90,YES
car,pothole_heavy,evening_rush,rainy,hyderabad_highway,10.45,0.855,21.60,923.3,217.1,176.5,152.6,0.786,7.76,31.00,48.69,YES
car,pothole_light,morning_rush,hazy,bangalore_tech,16.31,0.922,11.90,730.2,298.0,167.9,199.6,0.208,3.52,38.30,30.26,NO
pedestrian,pothole_light,afternoon,foggy,hyderabad_highway,8.63,0.776,0.00,404.6,498.9,62.0,77.7,0.344,3.30,20.90,48.08,YES
motorcycle,pothole_light,evening_rush,clear,delhi_inner,5.93,0.755,16.10,629.4,262.3,59.8,59.4,0.435,3.29,89.30,30.93,NO
pedestrian,construction,dawn,hazy,hyderabad_highway,14.41,0.714,5.00,1186.2,339.1,51.5,56.3,0.757,6.25,46.20,49.81,YES
car,pothole_heavy,night,hazy,hyderabad_highway,18.00,0.818,34.40,237.7,215.2,182.0,248.9,0.361,7.10,45.70,45.06,YES
motorcycle,smooth,dawn,rainy,mumbai_suburban,8.47,0.696,42.60,613.0,412.7,52.8,72.2,0.024,0.00,37.80,31.66,NO
autorickshaw,pothole_heavy,night,foggy,delhi_inner,15.48,0.689,20.30,728.5,285.3,113.4,111.6,0.324,7.54,16.30,56.86,YES
pedestrian,construction,evening_rush,hazy,mumbai_suburban,13.66,0.845,2.00,169.2,241.1,53.8,69.2,0.051,6.23,49.40,54.98,YES
motorcycle,pothole_heavy,morning_rush,rainy,rural_highway,8.70,0.769,19.50,51.9,372.7,86.4,99.9,0.330,6.71,27.30,49.41,YES
pedestrian,pothole_light,evening_rush,clear,mumbai_suburban,8.98,0.731,1.60,16.6,359.8,46.9,65.0,0.325,4.92,85.40,36.51,NO
dog,damaged_edge,evening_rush,dusty,bangalore_tech,3.80,0.631,3.20,389.6,432.7,80.2,87.1,0.090,6.48,39.00,71.30,YES
truck,damaged_edge,evening_rush,hazy,delhi_inner,20.62,0.789,21.40,78.5,382.6,218.4,276.2,0.566,5.00,42.90,38.54,NO
motorcycle,pothole_light,evening_rush,rainy,bangalore_tech,9.17,0.693,21.90,964.4,247.2,80.2,101.1,0.032,4.08,28.70,41.55,YES
car,pothole_light,evening_rush,clear,kolkata_old,15.38,0.821,18.20,1093.3,451.7,183.8,201.9,0.189,3.17,84.90,22.53,NO
dog,pothole_light,afternoon,clear,rural_highway,7.33,0.592,5.10,73.3,210.9,83.9,107.2,0.426,5.28,70.70,55.75,YES
car,pothole_light,evening_rush,hazy,bangalore_tech,16.19,0.950,21.00,480.4,358.4,169.9,162.5,0.151,6.09,42.80,41.51,YES
dog,pothole_heavy,morning_rush,dusty,hyderabad_highway,5.49,0.600,7.20,31.3,473.3,62.7,54.8,0.199,7.80,38.10,65.51,YES
autorickshaw,smooth,night,hazy,kolkata_old,9.08,0.661,36.30,156.8,586.6,110.0,116.0,0.402,0.00,43.50,24.58,NO
bicycle,pothole_light,morning_rush,dusty,delhi_inner,6.78,0.658,14.50,392.3,447.5,65.0,88.8,0.252,4.41,35.70,45.20,YES
pedestrian,pothole_light,morning_rush,hazy,mumbai_suburban,5.18,0.833,2.40,475.8,270.1,71.4,78.6,0.453,4.15,34.80,51.20,YES
e-rickshaw,damaged_edge,evening_rush,hazy,kolkata_old,8.93,0.653,13.50,1091.5,396.6,118.6,140.1,0.312,4.40,40.70,40.14,NO
motorcycle,construction,evening_rush,clear,rural_highway,13.65,0.827,27.60,481.7,376.5,63.0,74.0,0.373,7.57,83.40,37.35,NO
pedestrian,damaged_edge,evening_rush,foggy,rural_highway,2.49,0.688,0.20,614.9,432.0,41.0,36.1,0.047,6.13,16.20,66.87,YES
motorcycle,pothole_heavy,afternoon,clear,mumbai_suburban,7.69,0.870,43.40,293.3,285.0,85.6,88.5,0.428,7.06,73.50,42.21,YES
autorickshaw,pothole_heavy,evening_rush,dusty,mumbai_suburban,14.97,0.771,11.30,0.1,395.2,106.4,130.3,0.190,10.00,40.30,57.03,YES
pedestrian,construction,afternoon,dusty,mumbai_suburban,7.50,0.796,7.40,1116.0,269.9,39.1,54.1,0.086,5.16,37.60,52.70,YES
dog,pothole_light,dawn,dusty,rural_highway,6.80,0.629,15.50,97.2,526.5,90.2,81.2,0.332,2.98,29.60,52.50,YES
e-rickshaw,pothole_heavy,dawn,hazy,rural_highway,9.28,0.826,24.90,1137.0,446.2,100.8,105.5,0.190,8.28,45.70,46.40,YES
pedestrian,smooth,evening_rush,rainy,hyderabad_highway,9.07,0.786,7.70,159.1,236.5,64.3,55.1,0.223,2.70,24.70,53.62,YES
motorcycle,damaged_edge,afternoon,foggy,bangalore_tech,10.37,0.764,37.70,714.5,579.5,98.8,93.4,0.206,4.32,19.20,43.90,YES
autorickshaw,damaged_edge,night,clear,bangalore_tech,13.81,0.697,27.90,1170.3,451.6,109.0,111.8,0.300,3.72,80.90,28.88,NO
pedestrian,pothole_light,morning_rush,rainy,bangalore_tech,1.49,0.714,3.30,172.2,351.3,36.7,41.2,0.021,4.66,26.00,65.69,YES
motorcycle,pothole_heavy,evening_rush,clear,mumbai_suburban,8.70,0.763,20.30,510.5,220.5,75.9,71.2,0.060,7.70,83.70,41.70,YES
car,construction,afternoon,hazy,bangalore_tech,16.78,0.847,39.10,871.2,431.8,163.7,153.3,0.268,7.80,49.50,45.25,YES
motorcycle,pothole_light,dawn,clear,delhi_inner,10.70,0.774,42.70,38.6,355.5,81.8,103.6,0.350,3.92,81.30,29.18,NO
motorcycle,damaged_edge,morning_rush,clear,delhi_inner,15.00,0.859,26.30,829.9,575.8,76.9,106.0,0.042,3.97,82.10,29.82,NO
motorcycle,damaged_edge,evening_rush,hazy,rural_highway,7.18,0.756,20.60,96.0,215.2,85.4,84.9,0.049,7.82,37.70,50.18,YES
motorcycle,damaged_edge,night,hazy,hyderabad_highway,13.78,0.793,47.70,278.9,215.5,101.0,122.4,0.428,1.45,51.80,28.56,NO
car,pothole_light,evening_rush,rainy,bangalore_tech,12.64,0.871,17.10,174.1,519.4,192.3,183.6,0.153,6.18,29.50,44.23,YES
car,pothole_light,morning_rush,clear,bangalore_tech,19.04,0.881,23.70,991.4,456.5,187.3,254.2,0.079,5.12,75.30,31.40,NO
e-rickshaw,smooth,dawn,hazy,mumbai_suburban,13.90,0.700,19.40,216.5,211.7,80.5,96.9,0.094,0.00,45.70,25.82,NO
autorickshaw,flooded,evening_rush,clear,hyderabad_highway,9.11,0.747,14.50,46.6,456.1,126.7,162.3,0.150,8.25,83.70,41.37,YES
motorcycle,construction,evening_rush,rainy,hyderabad_highway,10.94,0.783,15.70,690.0,295.7,105.8,87.8,0.052,5.35,32.60,46.69,YES
pedestrian,pothole_heavy,morning_rush,rainy,hyderabad_highway,7.54,0.818,4.50,436.2,548.5,20.0,23.2,0.338,9.21,24.60,69.16,YES
motorcycle,pothole_heavy,evening_rush,rainy,hyderabad_highway,12.18,0.705,29.10,482.7,564.1,90.3,100.9,0.561,5.50,33.80,40.14,NO
bicycle,construction,evening_rush,rainy,mumbai_suburban,8.84,0.565,9.00,144.4,245.8,67.6,66.0,0.138,5.62,29.70,45.77,YES
pedestrian,damaged_edge,morning_rush,clear,mumbai_suburban,8.10,0.842,5.80,929.9,315.6,37.3,35.7,0.054,3.62,82.50,37.20,NO
car,flooded,morning_rush,foggy,bangalore_tech,21.29,0.848,20.70,654.5,207.2,192.0,220.4,0.116,5.10,16.00,43.98,YES
motorcycle,pothole_heavy,night,hazy,mumbai_suburban,8.70,0.625,30.10,427.7,217.1,105.6,129.3,0.340,8.01,50.20,47.51,YES
dog,smooth,morning_rush,hazy,hyderabad_highway,7.75,0.556,5.10,205.6,213.4,81.6,66.9,0.254,0.00,45.90,43.79,YES
bicycle,damaged_edge,morning_rush,rainy,mumbai_suburban,9.14,0.655,11.20,721.4,557.5,64.4,73.5,0.172,2.56,35.90,36.95,NO
autorickshaw,damaged_edge,evening_rush,clear,delhi_inner,18.32,0.737,17.80,914.2,326.6,105.8,95.5,0.066,5.56,72.30,38.32,NO
truck,pothole_light,night,rainy,bangalore_tech,18.11,0.690,36.50,330.5,359.6,222.2,196.4,0.218,4.06,23.00,38.81,NO
car,pothole_heavy,morning_rush,rainy,rural_highway,13.89,0.782,22.60,28.1,431.1,193.1,226.7,0.275,8.49,28.80,55.07,YES
e-rickshaw,smooth,evening_rush,clear,mumbai_suburban,16.09,0.661,13.20,252.0,406.5,104.2,102.8,0.450,0.21,87.30,22.17,NO
motorcycle,pothole_light,morning_rush,clear,kolkata_old,8.29,0.775,22.20,821.8,388.6,75.6,80.5,0.127,5.15,89.80,38.23,NO
bicycle,smooth,morning_rush,clear,bangalore_tech,16.94,0.736,0.00,1154.9,204.7,112.3,114.1,0.264,0.00,75.60,17.44,NO
pedestrian,construction,morning_rush,dusty,delhi_inner,11.69,0.810,3.70,16.2,450.7,66.2,78.7,0.323,8.22,35.30,62.53,YES
truck,pothole_light,night,rainy,bangalore_tech,19.50,0.589,35.70,319.2,232.8,237.3,256.7,0.391,3.07,30.80,40.47,NO
autorickshaw,flooded,morning_rush,clear,hyderabad_highway,5.58,0.850,14.70,73.3,494.2,98.1,135.2,0.331,5.14,83.60,32.82,NO
motorcycle,pothole_heavy,morning_rush,hazy,bangalore_tech,10.37,0.850,22.80,383.0,315.9,69.4,70.2,0.038,9.65,49.40,54.85,YES
car,damaged_edge,evening_rush,rainy,rural_highway,15.53,0.743,17.20,446.1,398.7,181.1,225.3,0.103,6.63,24.40,52.97,YES
motorcycle,construction,night,foggy,mumbai_suburban,14.52,0.680,48.10,1118.9,496.0,65.0,62.0,0.050,7.69,20.30,59.48,YES
car,pothole_heavy,afternoon,clear,delhi_inner,20.90,0.916,37.70,86.7,381.6,204.0,225.5,0.551,6.93,70.00,31.91,NO
pedestrian,pothole_heavy,evening_rush,clear,rural_highway,6.26,0.774,0.00,939.4,317.3,71.2,80.5,0.303,6.84,84.10,51.56,YES
motorcycle,pothole_light,morning_rush,dusty,mumbai_suburban,13.23,0.730,26.90,477.8,319.7,72.0,71.8,0.381,5.59,33.30,48.81,YES
car,pothole_heavy,evening_rush,clear,kolkata_old,17.74,0.880,26.50,870.7,455.5,206.8,223.9,0.187,9.53,74.00,48.55,YES
bus,damaged_edge,evening_rush,clear,hyderabad_highway,29.30,0.870,16.20,528.8,203.6,249.9,241.8,0.133,4.92,81.70,35.32,NO
dog,construction,evening_rush,dusty,mumbai_suburban,7.59,0.533,8.90,46.0,278.5,108.8,87.5,0.458,9.81,33.20,68.30,YES
bicycle,pothole_light,afternoon,rainy,hyderabad_highway,3.43,0.595,15.00,1142.9,476.4,72.2,67.1,0.089,4.55,36.30,52.17,YES
e-rickshaw,pothole_light,afternoon,clear,delhi_inner,7.96,0.695,25.70,96.1,506.6,118.6,144.7,0.568,2.67,75.50,27.47,NO
car,pothole_light,morning_rush,clear,mumbai_suburban,11.13,0.866,16.50,644.9,295.4,201.0,253.8,0.169,3.67,91.10,29.32,NO
motorcycle,damaged_edge,afternoon,clear,delhi_inner,9.56,0.795,35.80,1036.4,477.1,99.2,96.0,0.647,5.01,84.30,25.26,NO
pedestrian,pothole_heavy,morning_rush,clear,hyderabad_highway,12.85,0.795,0.50,97.5,456.2,57.7,60.2,0.399,8.10,86.40,47.78,YES
pedestrian,smooth,night,dusty,mumbai_suburban,8.65,0.609,4.40,682.5,231.0,47.9,39.4,0.605,1.50,29.90,46.11,YES
car,damaged_edge,dawn,hazy,hyderabad_highway,18.70,0.854,23.80,900.4,413.3,187.7,176.9,0.141,3.85,53.90,30.63,NO
cow,damaged_edge,dawn,rainy,rural_highway,9.30,0.609,6.90,1136.5,491.4,127.8,161.9,0.093,3.40,23.90,60.94,YES
motorcycle,pothole_heavy,night,dusty,bangalore_tech,4.17,0.673,28.60,867.5,621.1,82.3,95.7,0.111,8.72,34.00,60.56,YES
motorcycle,damaged_edge,evening_rush,hazy,kolkata_old,2.00,0.720,25.00,338.6,213.7,63.4,58.5,0.475,4.39,51.50,43.16,YES
autorickshaw,pothole_heavy,night,clear,bangalore_tech,11.77,0.663,21.00,830.2,484.5,93.3,89.0,0.244,10.00,82.50,51.86,YES
truck,pothole_heavy,afternoon,hazy,mumbai_suburban,19.58,0.786,33.50,747.6,297.5,220.8,284.8,0.462,9.13,38.80,47.41,YES
truck,flooded,evening_rush,dusty,bangalore_tech,17.14,0.866,7.40,728.7,202.9,238.9,221.1,0.272,5.37,40.70,37.25,NO
car,damaged_edge,evening_rush,foggy,kolkata_old,8.96,0.836,14.70,927.8,400.3,193.9,194.0,0.495,6.46,21.70,45.96,YES
dog,pothole_heavy,evening_rush,clear,rural_highway,4.56,0.500,0.70,105.8,253.6,68.8,82.4,0.054,8.88,77.90,67.29,YES
motorcycle,pothole_heavy,night,rainy,rural_highway,9.15,0.668,43.10,127.3,351.2,106.2,120.7,0.251,8.76,22.30,62.59,YES
car,pothole_heavy,afternoon,rainy,rural_highway,16.69,0.771,36.30,710.1,287.7,171.5,184.6,0.116,7.85,32.20,49.85,YES
dog,pothole_light,afternoon,dusty,rural_highway,7.85,0.694,11.30,1181.6,367.9,41.2,55.2,0.377,4.50,34.20,59.78,YES
bus,pothole_heavy,dawn,clear,bangalore_tech,31.71,0.867,28.60,495.1,356.5,217.3,202.5,0.223,5.48,80.80,28.99,NO
dog,pothole_heavy,morning_rush,hazy,kolkata_old,1.37,0.525,2.60,1179.3,363.4,52.3,65.1,0.347,9.58,37.10,87.14,YES
cow,smooth,evening_rush,dusty,rural_highway,10.66,0.581,0.00,1057.9,412.1,152.2,136.3,0.075,0.00,32.90,43.78,YES
pedestrian,damaged_edge,dawn,hazy,bangalore_tech,6.94,0.821,2.70,1119.2,312.8,40.5,47.3,0.252,4.47,47.40,53.00,YES
truck,damaged_edge,evening_rush,hazy,rural_highway,21.79,0.827,19.70,958.2,339.7,226.9,300.1,0.269,3.09,54.40,33.88,NO
car,damaged_edge,evening_rush,clear,bangalore_tech,14.89,0.874,13.10,966.0,456.1,204.7,220.0,0.181,4.40,79.00,28.34,NO
motorcycle,pothole_heavy,morning_rush,clear,kolkata_old,13.93,0.917,23.70,997.4,298.9,63.5,78.4,0.191,7.91,87.20,35.57,NO
motorcycle,construction,afternoon,clear,hyderabad_highway,10.65,0.778,42.80,829.0,406.9,87.2,112.7,0.251,5.56,83.90,35.78,NO
motorcycle,flooded,night,dusty,rural_highway,8.79,0.735,41.10,29.1,486.9,88.1,77.7,0.249,2.67,36.20,32.08,NO
pedestrian,flooded,evening_rush,clear,mumbai_suburban,7.82,0.885,1.40,164.4,468.0,37.1,45.4,0.485,6.25,74.90,44.71,YES
autorickshaw,flooded,evening_rush,hazy,hyderabad_highway,10.61,0.796,9.30,153.0,320.8,140.3,189.7,0.467,8.50,40.10,47.05,YES
car,construction,morning_rush,rainy,bangalore_tech,18.04,0.720,11.10,26.0,404.7,175.7,201.3,0.084,6.58,33.10,48.69,YES
motorcycle,smooth,morning_rush,clear,mumbai_suburban,6.92,0.850,18.80,140.7,212.8,74.2,67.7,0.072,1.15,77.40,22.11,NO
pedestrian,pothole_heavy,dawn,hazy,hyderabad_highway,8.93,0.730,2.20,1102.2,365.9,81.7,71.6,0.388,9.81,41.90,63.17,YES
car,damaged_edge,afternoon,rainy,kolkata_old,16.42,0.888,43.90,725.0,381.3,187.8,179.5,0.130,2.72,29.10,40.11,NO
dog,damaged_edge,evening_rush,dusty,kolkata_old,6.98,0.551,3.20,373.3,209.2,83.9,72.3,0.287,4.45,34.20,63.74,YES
autorickshaw,damaged_edge,morning_rush,rainy,mumbai_suburban,15.75,0.898,12.90,904.2,385.0,140.3,155.5,0.045,3.47,34.50,32.45,NO
autorickshaw,smooth,evening_rush,rainy,bangalore_tech,14.93,0.790,11.00,571.3,479.5,110.2,92.8,0.606,0.00,27.50,21.89,NO
truck,pothole_heavy,dawn,clear,kolkata_old,21.43,0.802,31.70,148.0,425.5,238.7,223.0,0.235,10.00,84.00,48.71,YES
cow,pothole_light,evening_rush,dusty,bangalore_tech,9.13,0.651,0.00,1015.0,243.0,132.5,140.9,0.342,4.27,37.20,59.79,YES
motorcycle,construction,morning_rush,clear,delhi_inner,11.92,0.865,17.50,409.2,637.9,71.8,77.9,0.213,7.95,71.60,38.25,NO
pedestrian,smooth,evening_rush,foggy,rural_highway,9.38,0.785,3.80,862.4,483.5,45.9,52.3,0.259,0.00,21.50,42.39,YES
truck,smooth,night,clear,bangalore_tech,12.23,0.737,29.30,310.7,295.3,210.7,257.7,0.176,0.00,66.70,23.23,NO
motorcycle,pothole_light,evening_rush,dusty,hyderabad_highway,9.73,0.895,20.70,593.9,310.5,92.3,76.5,0.252,4.81,30.50,34.89,NO
dog,pothole_light,night,rainy,bangalore_tech,1.00,0.472,5.60,984.4,461.9,74.0,62.8,0.073,5.50,32.30,78.68,YES
pedestrian,flooded,evening_rush,foggy,mumbai_suburban,12.87,0.727,0.00,194.0,627.0,42.6,35.7,0.258,6.38,19.90,59.79,YES
pedestrian,damaged_edge,night,clear,bangalore_tech,6.54,0.700,0.00,1192.1,437.7,60.1,63.4,0.347,5.59,71.20,49.19,YES
dog,damaged_edge,evening_rush,hazy,bangalore_tech,6.66,0.652,0.00,85.3,508.0,65.9,54.4,0.738,3.52,39.40,47.22,YES
dog,smooth,morning_rush,rainy,kolkata_old,8.51,0.563,8.50,648.8,357.0,65.1,81.2,0.144,0.85,17.00,52.31,YES
pedestrian,damaged_edge,afternoon,foggy,kolkata_old,8.66,0.786,11.30,1126.0,383.5,50.7,47.4,0.240,6.62,13.30,60.31,YES
cow,pothole_heavy,morning_rush,clear,bangalore_tech,3.94,0.698,0.00,1071.5,291.5,147.0,200.4,0.493,8.49,82.90,59.46,YES
pedestrian,damaged_edge,dawn,dusty,delhi_inner,9.09,0.677,2.90,284.1,523.9,55.8,61.0,0.234,2.84,32.20,47.63,YES
pedestrian,pothole_light,night,dusty,bangalore_tech,7.46,0.713,3.30,177.9,369.7,44.6,47.6,0.197,5.96,35.80,57.62,YES
truck,pothole_light,evening_rush,clear,delhi_inner,14.62,0.863,15.70,758.7,242.9,232.7,295.1,0.316,2.87,80.10,25.01,NO
pedestrian,damaged_edge,afternoon,foggy,delhi_inner,5.58,0.823,0.00,51.8,370.9,46.7,57.3,0.126,5.47,20.20,64.52,YES
car,construction,morning_rush,hazy,rural_highway,14.28,0.788,15.90,538.5,474.8,170.2,198.1,0.513,8.14,50.10,48.08,YES
dog,pothole_heavy,night,hazy,kolkata_old,4.43,0.612,10.70,981.1,535.7,48.0,65.3,0.579,9.30,44.00,75.54,YES
dog,flooded,evening_rush,clear,kolkata_old,1.00,0.605,5.50,669.6,344.1,84.7,89.3,0.476,3.84,84.60,56.31,YES
car,pothole_light,morning_rush,rainy,bangalore_tech,18.27,0.820,25.20,206.8,461.6,180.2,231.6,0.197,4.14,17.60,39.07,NO
cow,pothole_light,evening_rush,rainy,rural_highway,10.07,0.696,2.80,553.7,227.9,143.2,147.2,0.367,4.06,35.60,57.60,YES
car,pothole_heavy,morning_rush,hazy,kolkata_old,16.02,0.914,16.70,999.0,213.2,195.7,255.0,0.201,9.73,38.50,52.90,YES
motorcycle,pothole_light,afternoon,rainy,hyderabad_highway,11.14,0.811,30.50,745.1,257.4,72.8,69.6,0.086,4.55,24.60,46.31,YES
pedestrian,smooth,evening_rush,rainy,mumbai_suburban,4.20,0.715,0.00,902.3,257.2,29.4,28.6,0.243,1.74,26.50,46.31,YES
car,pothole_heavy,morning_rush,rainy,rural_highway,17.45,0.803,17.00,369.5,226.5,181.0,218.5,0.125,8.65,35.40,55.13,YES
cow,smooth,dawn,clear,hyderabad_highway,6.58,0.648,0.80,214.0,455.2,144.6,134.2,0.147,0.00,75.60,38.89,NO
cow,construction,morning_rush,dusty,rural_highway,4.93,0.607,0.00,292.4,435.8,136.1,127.6,0.130,7.23,31.70,70.59,YES
autorickshaw,pothole_heavy,morning_rush,hazy,delhi_inner,13.14,0.777,8.30,606.7,446.3,142.1,139.7,0.165,9.83,40.20,55.27,YES
car,damaged_edge,morning_rush,clear,mumbai_suburban,20.39,0.740,21.70,318.7,439.3,142.7,172.3,0.145,3.44,81.30,30.70,NO
motorcycle,pothole_light,night,clear,mumbai_suburban,13.40,0.753,45.20,641.3,495.9,96.8,129.1,0.442,5.09,83.70,33.44,NO
truck,damaged_edge,evening_rush,hazy,mumbai_suburban,22.67,0.843,20.10,741.9,249.9,231.9,279.3,0.272,4.25,53.50,32.63,NO
e-rickshaw,pothole_light,evening_rush,dusty,rural_highway,6.93,0.680,9.10,854.2,429.3,116.9,151.5,0.144,2.99,47.00,39.34,NO
pedestrian,pothole_heavy,morning_rush,hazy,delhi_inner,2.30,0.813,1.80,207.5,488.6,20.0,22.5,0.360,9.23,48.30,68.28,YES
motorcycle,pothole_heavy,morning_rush,rainy,delhi_inner,15.96,0.695,13.00,886.1,611.9,99.3,83.5,0.193,6.94,31.80,52.61,YES
pedestrian,pothole_heavy,evening_rush,clear,mumbai_suburban,14.36,0.916,0.00,837.8,313.9,34.6,29.8,0.167,8.45,73.90,55.51,YES
autorickshaw,pothole_heavy,night,hazy,delhi_inner,16.56,0.675,15.10,14.0,223.1,112.4,127.3,0.478,7.41,54.50,50.20,YES
pedestrian,damaged_edge,night,dusty,mumbai_suburban,8.17,0.656,6.60,72.6,508.9,47.4,47.3,0.220,2.17,36.10,45.86,YES
car,flooded,morning_rush,foggy,hyderabad_highway,12.32,0.766,21.90,706.9,456.5,186.1,173.5,0.235,6.57,18.60,54.97,YES
pedestrian,flooded,evening_rush,clear,kolkata_old,5.74,0.801,1.80,468.3,329.0,59.6,64.3,0.161,6.15,81.90,49.23,YES
truck,damaged_edge,dawn,hazy,delhi_inner,15.03,0.933,34.80,152.9,337.0,233.4,280.0,0.411,2.71,41.80,25.58,NO
bus,pothole_heavy,afternoon,clear,bangalore_tech,23.69,0.932,22.00,45.2,214.9,262.2,270.4,0.287,7.16,68.30,35.57,NO
motorcycle,pothole_light,night,hazy,bangalore_tech,14.76,0.769,42.80,190.7,596.1,83.8,107.4,0.023,1.83,47.90,33.62,NO
pedestrian,pothole_light,morning_rush,foggy,delhi_inner,7.02,0.751,7.40,1171.8,249.5,56.2,69.9,0.526,4.88,26.70,54.92,YES
bicycle,pothole_heavy,dawn,foggy,kolkata_old,11.51,0.678,9.10,892.3,230.6,53.6,66.6,0.068,9.67,22.80,59.55,YES
car,smooth,night,clear,hyderabad_highway,21.18,0.707,25.60,586.4,212.6,168.7,234.7,0.121,1.02,80.00,20.78,NO
bicycle,smooth,dawn,dusty,hyderabad_highway,10.45,0.738,7.50,1126.6,387.3,83.4,81.5,0.318,1.19,35.10,29.62,NO
pedestrian,pothole_light,evening_rush,rainy,hyderabad_highway,15.80,0.716,2.70,753.7,243.3,62.6,74.2,0.082,3.38,30.90,48.03,YES
car,pothole_light,afternoon,hazy,delhi_inner,21.03,0.943,45.50,790.3,400.6,190.9,250.7,0.314,4.66,45.70,28.55,NO
motorcycle,flooded,dawn,hazy,rural_highway,10.77,0.839,50.20,341.4,592.8,72.3,83.0,0.053,5.99,44.70,37.62,NO
pedestrian,damaged_edge,afternoon,rainy,hyderabad_highway,6.96,0.838,9.10,716.4,314.2,63.7,81.1,0.112,5.22,30.10,54.39,YES
car,pothole_light,afternoon,rainy,rural_highway,16.43,0.914,40.30,160.3,419.8,162.6,170.5,0.296,5.15,37.80,39.14,NO
truck,construction,night,hazy,delhi_inner,19.90,0.748,32.80,422.2,210.5,236.2,272.6,0.410,8.41,47.40,50.10,YES
motorcycle,construction,night,hazy,rural_highway,5.27,0.621,44.40,40.0,376.5,76.1,63.4,0.053,6.53,45.50,48.24,YES
pedestrian,pothole_light,dawn,clear,hyderabad_highway,11.23,0.883,5.80,261.0,321.7,75.3,104.7,0.184,2.31,83.30,29.19,NO
car,pothole_light,morning_rush,foggy,hyderabad_highway,19.73,0.908,18.40,84.1,272.9,157.2,201.2,0.020,3.78,23.30,38.16,NO
dog,smooth,night,hazy,delhi_inner,7.01,0.416,15.30,459.0,453.1,96.5,127.4,0.338,0.00,49.70,47.10,YES
